title,platform,date,meta_score,user_score,link,esrb_rating,developers,genres,platform_group,nintendo_relation,genre_main,player_type,play_situation,difficulty,mood,session_length,beginner_friendly,local_multiplayer,online_multiplayer,budget_tier,buying_advice,title_en,title_ko,title_zh,localization_note,image_url,image_file,official_url_en,official_url_ko,official_url_zh,media_note,normalized_title
Splatoon Raiders,Nintendo Switch 2,2026-07-23,,,,,Nintendo,"['Shooter', 'Action', 'Online']",Switch 2,Nintendo Core,Shooter,Competitive Player,Online|Short Break,Medium,Exciting,Medium,Yes,No,Yes,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Splatoon Raiders,스플래툰 레이더스,斯普拉遁 塗擊隊,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/700100001228270b216ace3dbe11f1981251d357ba780b/8c42325f9e62bb74a17434734d2bd1a0/ac10d398536e75dbd5ab9961c04d8fdaeaa35b531a173adfedf684ec18a8460d.jpg,data/media_images/splatoon_raiders.jpg,https://www.nintendo.com/us/store/products/splatoon-raiders-switch-2/,https://store.nintendo.co.kr/70010000122826,https://www.nintendo.com/hk/games/switch2/aadla/index.html,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,splatoon raiders
Fitness Boxing 3: Your Personal Trainer – Nintendo Switch 2 Edition,Nintendo Switch 2 Edition,2026-07-16,,,,,Nintendo,['Sports'],Switch 2 Edition,Nintendo Published,Sports,Family Player,Friends|Family|Party|Short Break,Easy,Active,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Fitness Boxing 3: Your Personal Trainer – Nintendo Switch 2 Edition,,Fitness Boxing 3: Your Personal Trainer – Nintendo Switch 2 Edition,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/700100001277769b3400385f8811f1b2512b5a81ae5d23/6a4f1c50225734ec565cc71b94230b8d/6ec83542de00a10ef871eb3a3dff9238e57c1782f5453e0079dd36ed90cff665.jpg,data/media_images/hk_70010000127776.jpg,https://ec.nintendo.com/HK/zh/titles/70010000127776,,https://ec.nintendo.com/HK/zh/titles/70010000127776,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,fitness boxing 3 your personal trainer nintendo switch 2 edition
節奏天國 奇蹟之星,Nintendo Switch,2026-07-02,,,,,Nintendo,['Rhythm'],Switch Compatible,Nintendo Published,Rhythm,Party Player,Solo|Short Break,Easy,Fun,Short,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",節奏天國 奇蹟之星,,節奏天國 奇蹟之星,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/70010000122821cbafe967344f11f18a7565a7d76775c1/32e78499037a8f281836b8ba36f47f20/25965d7880177867c41437e89361dfa87ac440a12fc5560064bad354692ba885.jpg,data/media_images/hk_70010000122821.jpg,https://ec.nintendo.com/HK/zh/titles/70010000122821,,https://ec.nintendo.com/HK/zh/titles/70010000122821,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,節奏天國 奇蹟之星
Star Fox,Nintendo Switch 2,2026-06-25,,,,,Nintendo,"['Shooter', 'Action']",Switch 2,Nintendo Published,Shooter,Competitive Player,Solo|Short Break,Medium,Exciting,Medium,No,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Star Fox,스타폭스,Star Fox (星際火狐),Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/7001000012317005a93d0949a211f19f686f453170fd9f/47612a5e820fcd09cee2f360aa038f87/0e1ce3e25ee3b190df9fc2b9284bd9847672a4cc9bf548103545dc4edfc197a4.jpg,data/media_images/star_fox.jpg,https://www.nintendo.com/us/store/products/star-fox-switch-2/,https://www.nintendo.com/kr/news/article/jqP3XvfoaXCrIz7rrlZ0v,https://ec.nintendo.com/HK/zh/titles/70010000123170,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,star fox
Yoshi and the Mysterious Book,Nintendo Switch 2,2026-05-21,,,,,Nintendo,"['Adventure', 'Puzzle']",Switch 2,Nintendo Core,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Yoshi and the Mysterious Book,요시와 신기한 도감,耀西與不可思議的圖鑑,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/70010000119862c97ae3951cbc11f1a5f0a5038c94390e/07998f8857775362550a5bda06a74dfe/f47acc5561f3830949b62abbfd9c899eb03a0c21d19e25270d336190043607c7.jpg,data/media_images/yoshi_and_the_mysterious_book.jpg,https://www.nintendo.com/us/store/products/yoshi-and-the-mysterious-book-switch-2/,https://www.nintendo.com/kr/games/switch2/aakga/,https://ec.nintendo.com/HK/zh/titles/70010000119862,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,yoshi and the mysterious book
Tomodachi Life 朋友收集 夢想生活,Nintendo Switch,2026-04-16,,,,,Nintendo,['Simulation'],Switch Compatible,Nintendo Published,Simulation,Relaxed Player,Solo|Long Session,Easy,Healing,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Tomodachi Life 朋友收集 夢想生活,,Tomodachi Life 朋友收集 夢想生活,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/700100001166661c98795afd4e11f0815ebfb29e18e674/2ea388a0bb2488cc9047217b1b4a9a0d/1ae12c06a1958a7bdb14cfbe3edd477d116cc2ec95bbb151ef918fe9f0cd0db6.jpg,data/media_images/hk_70010000116666.jpg,https://www.nintendo.com/hk/switch/blfga/,,https://www.nintendo.com/hk/switch/blfga/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,tomodachi life 朋友收集 夢想生活
Pokémon Champions,Nintendo Switch,2026-04-08,,,,,Nintendo,['RPG'],Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Pokémon Champions,,Pokémon Champions,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/700100000946146105dbb8f57111efaf8ffb88aa84c3e8/cf8ab29f85db13db1221340004ef76d2/690ff180025dcf275bf66879ee02963cb405a99371155ea1245afdc55ec31218.jpg,data/media_images/hk_70010000094614.jpg,https://ec.nintendo.com/HK/zh/titles/70010000094614,,https://ec.nintendo.com/HK/zh/titles/70010000094614,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,pokémon champions
超級瑪利歐兄弟 驚奇 Nintendo Switch 2 Edition + 同遊鈴鈴公園,Nintendo Switch 2 Edition,2026-03-26,,,,,Nintendo,['Adventure'],Switch 2 Edition,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",超級瑪利歐兄弟 驚奇 Nintendo Switch 2 Edition + 同遊鈴鈴公園,,超級瑪利歐兄弟 驚奇 Nintendo Switch 2 Edition + 同遊鈴鈴公園,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/700100001155704b4392d6f7ce11f0902cad4bdaebf3c5/c91a07b30a69923bdbc972f0620084e3/87db33ce7d06a71500e60d3832623ad2eac003278b0e1a754abbda567101426f.jpg,data/media_images/hk_70010000115570.jpg,https://www.nintendo.com/hk/games/switch2/aqmxa/index.html,,https://www.nintendo.com/hk/games/switch2/aqmxa/index.html,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,超級瑪利歐兄弟 驚奇 nintendo switch 2 edition 同遊鈴鈴公園
Pokemon Pokopia,Nintendo Switch 2,2026-03-05,,,,,Nintendo,"['Simulation', 'Adventure']",Switch 2,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Pokemon Pokopia,Pokémon Pokopia,Pokémon Pokopia,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/70010000107424f3747daabf3911f09db4b71be4cc4cfa/4d881b425b3f2a10fb9340b367e8a6bc/5fdf92546dc6405f94304388e9f87275993191433feecbeefe4f69544007206d.jpg,data/media_images/pokemon_pokopia.jpg,https://www.nintendo.com/us/store/products/pokemon-pokopia-switch-2/,https://pokemonkorea.co.kr/pokemonpokopia,https://www.pocoapokemon.jp/tc/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,pokemon pokopia
Pokémon FireRed / LeafGreen Version,Nintendo Switch,2026-02-27,,,,,Nintendo,['RPG'],Switch Compatible,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",Pokémon FireRed / LeafGreen Version,,Pokémon FireRed / LeafGreen Version,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/70010000118616bcca26470e2311f1bb8ff779298648d2/1258ad5e152190cb4c8c666b160b4fa9/edf6c7499eae77d12f62dac31a0ad5875c29f6d397a6227e02240ac5c66fb3e6.jpg,data/media_images/hk_pokemon_firered_leafgreen.jpg,https://ec.nintendo.com/HK/zh/titles/70010000118616,,https://ec.nintendo.com/HK/zh/titles/70010000118616,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,pokémon firered leafgreen version
異度神劍X 終極版 Nintendo Switch 2 Edition,Nintendo Switch 2 Edition,2026-02-19,,,,,Nintendo,['RPG'],Switch 2 Edition,Nintendo Published,RPG,Story Player,Solo|Long Session,Medium,Story,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length.",異度神劍X 終極版 Nintendo Switch 2 Edition,,異度神劍X 終極版 Nintendo Switch 2 Edition,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo,https://images.ctfassets.net/o5v89n4kg6h4/700100001166723caa8b500dcf11f1bb92e3a303d5ebc4/e7727d82a39eed56a13ad325d9540f7e/e5fa2027567f1c0c5de935d6aa905fa6590c84d031029ba2f29bb0124b361036.jpg,data/media_images/hk_70010000116672.jpg,https://www.nintendo.com/hk/games/switch2/bas6a/index.html,,https://www.nintendo.com/hk/games/switch2/bas6a/index.html,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.,異度神劍x 終極版 nintendo switch 2 edition
