title,title_en,title_ko,title_zh,localization_note
Metroid Prime 4: Beyond,Metroid Prime 4: Beyond,메트로이드 프라임 4 비욘드,密特羅德 究極4 穿越未知,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pokémon Legends: Z-A,Pokémon Legends: Z-A,Pokémon LEGENDS Z-A,寶可夢傳說 Z-A,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Kirby and the Forgotten Land + Star-Crossed World,Kirby and the Forgotten Land + Star-Crossed World,별의 커비 디스커버리 Nintendo Switch 2 Edition + 스타 크로스드 월드,星之卡比 探索發現 Nintendo Switch 2 Edition + 星耀世界,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Donkey Kong Bananza,Donkey Kong Bananza,동키콩 바난자,咚奇剛 蕉力全開,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Mario Kart World,Mario Kart World,마리오 카트 월드,瑪利歐賽車世界,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Xenoblade Chronicles X: Definitive Edition,Xenoblade Chronicles X: Definitive Edition,제노블레이드 크로니클스 크로스 디피니티브 에디션,異度神劍X 終極版,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Donkey Kong Country Returns HD,Donkey Kong Country Returns HD,동키콩 리턴즈 HD,薩爾達傳說 禦天之劍 HD,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Super Mario Party Jamboree,Super Mario Party Jamboree,슈퍼 마리오 파티 잼버리,超級瑪利歐派對 空前盛會,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
The Legend of Zelda: Echoes of Wisdom,The Legend of Zelda: Echoes of Wisdom,젤다의 전설 지혜의 투영,薩爾達傳說 智慧的再現,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Paper Mario: The Thousand-Year Door,Paper Mario: The Thousand-Year Door,페이퍼 마리오 1000년의 문,紙片瑪利歐RPG,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Princess Peach: Showtime!,Princess Peach: Showtime!,프린세스 피치 Showtime!,碧姬公主 表演時刻！,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Mario vs. Donkey Kong,Mario vs. Donkey Kong,마리오 vs. 동키콩,瑪利歐vs.咚奇剛,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Super Mario RPG,Super Mario RPG,슈퍼 마리오 RPG,超級瑪利歐RPG,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
WarioWare: Move It!,WarioWare: Move It!,끝내주게 춤춰라 메이드 인 와리오,超級舞動 瓦利歐製造,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Super Mario Bros. Wonder,Super Mario Bros. Wonder,Super Mario Bros. Wonder(슈퍼 마리오브라더스 원더),超級瑪利歐兄弟 驚奇,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pikmin 4,Pikmin 4,피크민 4,皮克敏４,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Everybody 1-2-Switch!,Everybody 1-2-Switch!,Everybody 1-2-Switch!(에브리바디 원 투 스위치),Everybody 1-2-Switch!,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
The Legend of Zelda: Tears of the Kingdom,The Legend of Zelda: Tears of the Kingdom,젤다의 전설 티어스 오브 더 킹덤,薩爾達傳說 王國之淚,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Metroid Prime Remastered,Metroid Prime Remastered,메트로이드 프라임 리마스터,密特羅德 究極 復刻版,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Fire Emblem Engage,Fire Emblem Engage,파이어 엠블렘 Engage,Fire Emblem™ Engage,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pokemon Scarlet,Pokemon Scarlet,포켓몬스터스칼렛・바이올렛,寶可夢 朱,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Pokemon Violet,Pokemon Violet,포켓몬스터스칼렛・바이올렛,寶可夢 紫,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
Bayonetta 3,Bayonetta 3,베요네타 3,蓓優妮塔3,Chinese title and release metadata synced from Nintendo HK software list: https://www.nintendo.com/hk/software/switch?sftab=nintendo
