title,platform_group,nintendo_relation,genre_main,player_type,play_situation,difficulty,mood,session_length,beginner_friendly,local_multiplayer,online_multiplayer,budget_tier,buying_advice
1-2-Switch,Switch Compatible,Nintendo Core,Party,Party Player,Friends|Family|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Animal Crossing: New Horizons,Switch Compatible,Nintendo Published,Simulation,Relaxed Player,Solo|Long Session,Easy,Healing,Long,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Arcade Archives: Clu Clu Land,Switch Compatible,Third-party,Puzzle,Budget Player,Short Break|Friends,Medium,Fun,Short,Yes,Yes,No,Low,A low-cost retro puzzle pick for short nostalgic sessions.
Arcade Archives: Donkey Kong,Switch Compatible,Third-party,Platformer,Budget Player,Short Break,Medium,Fun,Short,Yes,No,No,Low,A classic arcade pick for players who want a cheap Nintendo history sample.
Arcade Archives: Excitebike,Switch Compatible,Third-party,Racing,Budget Player,Short Break|Friends,Easy,Fun,Short,Yes,Yes,No,Low,A simple retro racing pick for quick local play.
Arcade Archives: Mario Bros.,Switch Compatible,Third-party,Platformer,Party Player,Friends|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,Low,A cheap local co-op arcade option for short friend sessions.
Arcade Archives: Pinball,Switch Compatible,Third-party,Puzzle,Relaxed Player,Short Break,Easy,Healing,Short,Yes,No,No,Low,A quiet low-cost pick for simple score-chasing breaks.
Arcade Archives: Punch-Out!,Switch Compatible,Third-party,Fighting,Core Player,Solo|Short Break,Hard,Tense,Short,No,No,No,Low,A retro challenge pick for players who like timing and pattern mastery.
Arcade Archives: Urban Champion,Switch Compatible,Third-party,Fighting,Competitive Player,Friends|Short Break,Medium,Exciting,Short,Yes,Yes,No,Low,A small versus arcade pick for quick local matches.
Arcade Archives: Vs. Balloon Fight,Switch Compatible,Third-party,Action,Party Player,Friends|Party|Short Break,Easy,Fun,Short,Yes,Yes,No,Low,A lightweight retro local pick for short playful sessions.
Arcade Archives: Vs. Super Mario Bros.,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Arcade Archives: Vs. Wrecking Crew,Switch Compatible,Third-party,Puzzle,Creative Player,Short Break|Friends,Medium,Creative,Short,Yes,Yes,No,Low,A classic puzzle-action pick for short problem-solving sessions.
ARMS,Switch Compatible,Nintendo Core,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Astral Chain,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Bayonetta,Switch Compatible,Nintendo Published,Fighting,Competitive Player,Friends|Family|Party|Short Break,Hard,Exciting,Medium,No,Yes,No,Medium,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Bayonetta 2,Switch Compatible,Nintendo Published,Action,Core Player,Solo,Hard,Exciting,Medium,No,No,No,Medium,A polished action sequel for players who want combat depth and spectacle.
Bayonetta 3,Switch Compatible,Nintendo Published,Fighting,Competitive Player,Friends|Family|Party|Short Break,Hard,Exciting,Medium,No,Yes,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,Switch Compatible,Nintendo Published,Rhythm|Adventure,Explorer,Solo|Friends,Medium,Creative,Medium,No,Yes,No,Medium,A Zelda-flavored rhythm adventure for players who want something unusual.
Captain Toad: Treasure Tracker,Switch Compatible,Nintendo Published,Platformer,Beginner,Solo|Short Break,Easy,Cute,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
Celeste,Switch Compatible,Indie,Platformer,Core Player,Solo|Short Break,Hard,Story,Short,No,No,No,Low,A focused platforming challenge with strong emotional payoff.
Clubhouse Games: 51 Worldwide Classics,Switch Compatible,Nintendo Published,Adventure,Explorer,Solo|Short Break,Easy,Immersive,Medium,Yes,No,No,High,"Official Nintendo HK listing. Use the filters to decide whether this fits your play situation, budget, and session length."
